2007;1;3;14;0;1045.4;996.4;105;30.6;30.6;86.3;962.4;3;235.5;0
2007;1;3;15;0;938;980.1;98.4;31.2;31.2;68.1;963.8;3.1;232.5;0
2007;1;3;16;0;779.9;953.1;88.3;30.2;30.2;54.6;962.3;3.1;232.5;0
2007;1;3;17;0;582.9;907.3;75.1;28.9;28.9;51;960.7;2.9;229.5;0
2007;1;3;18;0;366.2;830.4;58.6;27.3;27.3;42.3;959.9;2.6;228;0
2007;1;3;19;0;146.5;646.8;36.4;25.2;25.2;40.4;958.6;1.7;228;0
2007;1;3;20;0;0;0;0;22.8;22.8;36.1;957.5;0.9;223.5;0
2007;1;3;21;0;0;0;0;21.2;21.2;36.3;956.2;0.3;228;0
2007;1;3;22;0;0;0;0;19.8;19.8;34.8;954.4;0.1;249;0
2007;1;3;23;0;0;0;0;18.6;18.6;35;952.7;0.5;340.5;0
2007;1;4;0;0;0;0;0;17.6;17.6;36.4;951;0.5;1.5;0
2007;1;4;1;0;0;0;0;16.8;16.8;39.6;949.2;0.5;4.5;0
2007;1;4;2;0;0;0;0;16.1;16.1;46.1;947.7;0.5;4.5;0
2007;1;4;3;0;0;0;0;15.3;15.3;54.6;945.9;0.4;7.5;0
2007;1;4;4;0;0;0;0;14.4;14.4;61.3;944.6;0.5;10.5;0
2007;1;4;5;0;0;0;0;13.4;13.4;66.5;943.4;0.4;30;0
2007;1;4;6;0;15.7;0;15.7;14.7;14.7;67.6;945.9;0.3;22.5;0
2007;1;4;7;0;240.6;755.7;47.1;16.2;16.2;70.6;948.3;0.2;42;0
2007;1;4;8;0;466.8;882.9;66.5;19.2;19.2;76;951.3;0.2;283.5;0
2007;1;4;9;0;680.3;944;81.6;22.4;22.4;79.1;953.5;0.7;262.5;0
2007;1;4;10;0;862.8;978.3;93.5;25.6;25.6;81.3;956.1;1.1;258;0
2007;1;4;11;0;1000;998.2;102;28.4;28.4;84.6;958.3;1.6;249;0
2007;1;4;12;0;1078;1005.5;106.8;30.8;30.8;91.1;960.4;2;241.5;0
2007;1;4;13;0;1094;1005.2;107.7;32.4;32.4;90.7;962.7;2.5;237;0
2007;1;4;14;0;1046.9;997.9;104.9;33.1;33.1;86;965.6;2.9;234;0
2007;1;4;15;0;940.6;982.7;98.4;32.7;32.7;69;964.1;3;231;0
2007;1;4;16;0;783.1;956.6;88.4;31.8;31.8;55.1;962.9;3;229.5;0
2007;1;4;17;0;586.2;911.8;75.2;30.8;30.8;46.6;961.2;2.8;229.5;0
2007;1;4;18;0;365.9;828.4;58.5;29.5;29.5;41.4;960.3;2.6;228;0
2007;1;4;19;0;145;636.7;36.3;27.4;27.4;39.2;958.7;1.6;229.5;0
2007;1;4;20;0;0;0;0;24.9;24.9;35.4;958;0.8;228;0
2007;1;4;21;0;0;0;0;22.9;22.9;34.4;956.9;0.2;232.5;0
2007;1;4;22;0;0;0;0;21.5;21.5;32.7;955.1;0.3;294;0
2007;1;4;23;0;0;0;0;20.2;20.2;32.6;953.2;0.6;340.5;0
2007;1;5;0;0;0;0;0;18.9;18.9;32.1;951.6;0.8;7.5;0
2007;1;5;1;0;0;0;0;17.9;17.9;35.4;950;0.8;13.5;0
2007;1;5;2;0;0;0;0;17.2;17.2;42.3;948.9;0.8;12;0
2007;1;5;3;0;0;0;0;16.6;16.6;51.1;947.2;0.8;16.5;0
2007;1;5;4;0;0;0;0;16;16;58.4;946;0.6;24;0
2007;1;5;5;0;0;0;0;15.1;15.1;64.7;945.3;0.6;40.5;0
2007;1;5;6;0;15.2;0;15.2;16.1;16.1;67.9;947.6;0.3;28.5;0
2007;1;5;7;0;237.8;753.1;46.8;17.5;17.5;73.5;949.3;0.2;30;0
2007;1;5;8;0;463;879.7;66.2;20.1;20.1;74.7;951.6;0.2;310.5;0
2007;1;5;9;0;676.2;940.8;81.3;23.1;23.1;77.7;953.3;0.6;285;0
2007;1;5;10;0;858.5;975;93.2;26.1;26.1;77.8;955.2;1;276;0
2007;1;5;11;0;995.3;994.6;101.7;28.6;28.6;79.7;955.3;1.5;259.5;0
2007;1;5;12;0;1073;1001.3;106.5;30.8;30.8;85.7;956.8;1.8;247.5;0
2007;1;5;13;0;1089.1;1000.8;107.4;32;32;84.8;958.1;2.4;238.5;0
2007;1;5;14;0;1041.8;992.8;104.5;32.7;32.7;82.9;959.5;2.9;234;0
2007;1;5;15;0;936.6;978;98.1;32;32;68;958.3;3;231;0
2007;1;5;16;0;779.9;951.8;88.1;31.2;31.2;55.8;957;2.9;228;0
2007;1;5;17;0;584;907.3;75;30.2;30.2;48.7;956.3;2.8;228;0
2007;1;5;18;0;366.4;828.4;58.5;28.7;28.7;38.9;954.9;2.6;228;0
2007;1;5;19;0;146.4;642.4;36.4;26.5;26.5;37.7;954;1.8;231;0
2007;1;5;20;0;0;0;0;23.7;23.7;34.9;953.4;1.1;226.5;0
2007;1;5;21;0;0;0;0;21.7;21.7;35.1;952.2;0.3;231;0
2007;1;5;22;0;0;0;0;20.3;20.3;33.3;950.7;0.2;229.5;0
